Date,Open,High,Low,Close,Adj Close,Volume
2015-04-30,96.650002,97.370003,96.410004,96.550003,78.232674,8300300
2015-05-01,96.730003,97.970001,96.730003,97.800003,79.245544,6280300
2015-05-04,96.570000,98.629997,96.050003,96.129997,77.892380,8426300
2015-05-05,96.389999,96.470001,95.570000,96.129997,77.892380,7637000
2015-05-06,96.099998,96.660004,95.879997,96.389999,78.103035,6614500
2015-05-07,96.269997,97.330002,96.120003,96.779999,78.419052,5018900
2015-05-08,98.190002,99.150002,97.790001,98.230003,79.593971,7543100
2015-05-11,98.070000,98.389999,97.150002,97.510002,79.010567,4123700
2015-05-12,97.389999,98.349998,96.919998,97.949997,79.367073,4848100
2015-05-13,98.070000,98.489998,97.279999,97.349998,78.880905,6526900
2015-05-14,97.660004,97.870003,97.279999,97.709999,79.172623,4744000
2015-05-15,97.739998,99.040001,97.540001,98.040001,79.440018,7607200
2015-05-18,97.970001,98.250000,97.620003,98.019997,79.423805,4100800
2015-05-19,98.089996,101.080002,97.650002,100.680000,81.579140,10809200
2015-05-20,100.879997,100.980003,99.419998,100.110001,81.117310,6185100
2015-05-21,99.889999,99.959999,99.059998,99.279999,80.444756,4729500
2015-05-22,99.150002,99.480003,98.839996,98.989998,80.209778,4559500
2015-05-26,98.849998,99.199997,98.040001,98.459999,79.780342,7123100
2015-05-27,98.970001,99.220001,98.199997,98.660004,79.942383,8129500
2015-05-28,98.000000,98.209999,96.199997,96.480003,78.855331,10204000
2015-05-29,97.589996,97.769997,95.839996,95.930000,78.405815,6439100
2015-06-01,95.839996,96.910004,95.839996,96.220001,78.642853,4919200
2015-06-02,96.300003,96.970001,95.809998,96.290001,78.700050,4430300
2015-06-03,96.379997,97.070000,95.970001,96.519997,78.888023,4165700
2015-06-04,96.300003,96.970001,96.010002,96.309998,78.716385,4702800
2015-06-05,95.930000,96.089996,95.470001,95.540001,78.087059,3959300
2015-06-08,96.000000,96.040001,95.250000,95.320000,77.907242,4594600
2015-06-09,95.519997,95.559998,94.489998,94.730003,77.425011,7770900
2015-06-10,95.019997,95.629997,94.809998,95.300003,77.890900,4828600
2015-06-11,95.500000,96.330002,95.500000,95.589996,78.127914,4203900
2015-06-12,95.419998,95.550003,95.000000,95.059998,77.694733,3702400
2015-06-15,94.739998,95.000000,94.019997,94.300003,77.073578,5861800
2015-06-16,94.250000,94.669998,94.099998,94.629997,77.343292,3094800
2015-06-17,94.540001,95.519997,94.540001,95.220001,77.825516,3941000
2015-06-18,95.690002,96.629997,95.279999,96.169998,78.601974,5101000
2015-06-19,96.389999,97.139999,95.980003,96.080002,78.528419,8279300
2015-06-22,96.309998,97.029999,96.139999,96.870003,79.174095,3893300
2015-06-23,97.589996,97.959999,97.120003,97.180000,79.427444,4541700
2015-06-24,96.750000,97.449997,96.639999,96.639999,78.986115,3927100
2015-06-25,96.699997,96.910004,95.779999,95.790001,78.291367,4322300
2015-06-26,96.129997,97.349998,95.930000,97.290001,79.517395,6039500
2015-06-29,96.620003,97.230003,95.419998,95.440002,78.005325,8412800
2015-06-30,95.930000,96.300003,94.540001,95.070000,77.702927,6656000
2015-07-01,95.099998,95.820000,94.730003,95.760002,78.266869,4446200
2015-07-02,96.129997,96.599998,95.580002,96.169998,78.601974,3250900
2015-07-06,95.889999,96.279999,95.250000,95.650002,78.176979,3852500
2015-07-07,95.930000,96.779999,95.239998,96.680000,79.018791,4794400
2015-07-08,95.650002,96.589996,95.650002,95.839996,78.332245,4914300
2015-07-09,96.639999,97.269997,96.440002,96.489998,78.863541,5482500
2015-07-10,97.250000,97.779999,96.949997,97.650002,79.811584,5179200
2015-07-13,98.000000,98.510002,97.699997,98.430000,80.449120,4578700
2015-07-14,98.120003,99.050003,97.959999,98.779999,80.735168,5746100
2015-07-15,98.150002,99.629997,97.849998,99.070000,80.972198,7572500
2015-07-16,99.110001,99.110001,97.209999,97.860001,79.983238,7696200
2015-07-17,97.699997,98.220001,97.000000,97.500000,79.688995,6429800
2015-07-20,97.779999,98.209999,97.400002,97.489998,79.680824,4947000
2015-07-21,97.599998,97.720001,96.959999,97.320000,79.541901,4206700
2015-07-22,97.709999,98.250000,97.430000,97.580002,79.754410,5392600
2015-07-23,98.900002,99.000000,96.150002,97.089996,79.353928,10380700
2015-07-24,97.410004,97.410004,96.089996,96.099998,78.544739,5554600
2015-07-27,96.000000,96.750000,95.699997,96.040001,78.495689,5818600
2015-07-28,96.480003,97.419998,96.320000,97.330002,79.550064,4863000
2015-07-29,97.480003,98.389999,97.000000,98.209999,80.269310,6006500
2015-07-30,97.589996,99.339996,97.589996,99.169998,81.053940,5372500
2015-07-31,99.650002,101.099998,99.300003,99.860001,81.617905,7647000
2015-08-03,100.000000,100.180000,99.019997,99.419998,81.258263,4427300
2015-08-04,99.470001,99.519997,98.769997,99.139999,81.029396,2842100
2015-08-05,99.830002,100.139999,99.260002,99.800003,81.568871,3560600
2015-08-06,99.720001,100.180000,99.209999,99.349998,81.201073,6740200
2015-08-07,99.290001,99.419998,98.449997,98.919998,80.849602,3463700
2015-08-10,99.489998,99.949997,98.870003,99.389999,81.233742,3994500
2015-08-11,98.690002,99.160004,98.400002,98.809998,80.759697,3585000
2015-08-12,98.269997,98.430000,97.230003,98.279999,80.326538,4167100
2015-08-13,98.070000,99.820000,97.989998,99.370003,81.217407,4636400
2015-08-14,99.050003,99.559998,98.720001,99.269997,81.135666,3185600
2015-08-17,99.000000,100.910004,98.919998,100.660004,82.271767,5204100
2015-08-18,100.000000,101.440002,100.000000,100.760002,82.353500,4257300
2015-08-19,100.449997,101.879997,100.190002,101.099998,82.631348,5989000
2015-08-20,100.730003,101.000000,99.739998,99.760002,81.536156,6668000
2015-08-21,99.379997,99.389999,97.129997,97.129997,79.386589,10980000
2015-08-24,91.580002,95.879997,87.500000,92.870003,75.904808,15074800
2015-08-25,95.470001,95.480003,91.029999,91.209999,74.548050,11468800
2015-08-26,92.930000,95.199997,91.470001,95.150002,77.768311,16439800
